server_time,best_bid_price,best_ask_price,avg_buy_price,avg_sell_price
,92951.266,92970.0,92957.72,92942.9
,92951.266,92970.0,92957.74,92942.9
,92951.266,92970.2,92958.58,92942.8
,92951.27,92970.3,92958.54,92942.8
,92951.27,92970.3,92958.62,92942.8
,92951.29,92970.3,92958.54,92942.8
,92951.305,92970.3,92958.54,92942.8
,92951.305,92970.4,92958.53,92942.8
,92951.305,92970.4,92958.53,92942.8
,92951.305,92970.4,92958.53,92942.8
,92951.31,92970.4,92958.53,92942.8
,92951.31,92970.4,92958.53,92942.8
,92951.31,92970.4,92958.53,92942.8
,92951.31,92970.4,92958.59,92942.8
,92951.31,92970.4,92958.53,92942.8
,92951.36,92970.4,92958.51,92942.8
,92951.36,92970.4,92958.48,92942.8
,92951.36,92970.4,92958.48,92942.8
,92951.375,92970.4,92958.484,92942.8
,92951.305,92970.4,92958.484,92942.8
,92951.305,92970.4,92958.484,92942.8
,92951.305,92970.4,92958.52,92942.8
,92951.31,92970.7,92958.52,92942.8
,92951.31,92970.7,92958.52,92942.8
,92951.33,92970.7,92958.52,92942.8
,92951.33,92970.7,92959.73,92942.8
,92950.8,92970.7,92960.375,92942.8
,92950.71,92970.7,92960.375,92942.8
,92950.71,92970.7,92960.34,92942.8
,92950.85,92970.7,92960.34,92942.8
,92950.74,92970.7,92960.33,92942.8
,92950.75,92970.7,92960.33,92942.8
,92950.75,92970.7,92960.33,92942.8
,92950.75,92970.7,92960.86,92942.8
,92950.74,92970.7,92960.805,92942.8
,92950.74,92970.7,92960.77,92942.8
,92951.09,92970.7,92960.77,92942.8
,92950.055,92970.7,92956.56,92942.8
,92951.63,92970.7,92960.34,92942.8
,92951.68,92970.7,92960.74,92942.8
,92951.32,92970.7,92960.625,92942.8
,92951.14,92970.7,92960.625,92942.8
,92951.48,92970.7,92960.69,92942.8
,92951.625,92970.7,92960.69,92942.8
,92951.625,92970.7,92960.31,92942.8
,92951.625,92970.7,92960.85,92942.8
,92951.64,92970.7,92960.83,92942.8
,92951.63,92970.7,92960.78,92942.8
,92951.63,92970.7,92960.87,92942.8
,92951.63,92970.7,92960.82,92942.8
,92951.63,92970.7,92960.84,92942.8
,92951.625,92970.7,92960.85,92942.8
,92951.625,92970.7,92960.85,92942.8
,92951.625,92970.7,92960.84,92942.8
,92951.266,92970.7,92960.84,92942.8
,92951.21,92970.7,92960.84,92942.8
,92951.2,92970.7,92960.84,92942.8
,92951.2,92970.7,92960.34,92942.8
,92951.2,92970.7,92960.64,92942.8
,92951.2,92970.7,92960.164,92942.8
,92951.2,92970.7,92960.164,92942.8
,92951.2,92970.7,92960.164,92942.8
,92951.2,92970.7,92960.164,92942.8
,92951.17,92970.7,92960.164,92942.8
,92951.2,92970.7,92960.164,92942.8
,92951.555,92970.7,92960.18,92942.8
,92951.68,92970.7,92960.18,92942.8
,92951.68,92970.7,92960.16,92942.8
