server_time,best_bid_price,best_ask_price,avg_buy_price,avg_sell_price
,92854.45,92875.0,92869.63,92841.9
,92854.414,92875.0,92869.61,92841.9
,92854.39,92875.0,92869.61,92841.9
,92854.42,92875.0,92869.61,92841.9
,92854.42,92875.0,92869.59,92841.9
,92854.71,92875.0,92869.59,92841.9
,92854.71,92875.0,92870.52,92841.9
,92854.71,92875.0,92870.52,92841.9
,92854.7,92875.0,92870.52,92841.9
,92854.66,92875.0,92870.52,92841.9
,92854.63,92875.0,92870.516,92841.9
,92854.32,92875.0,92870.6,92841.9
,92854.36,92875.0,92870.6,92841.9
,92853.67,92875.0,92870.6,92841.9
,92865.7,92881.5,92876.11,92841.9
,92868.414,92885.1,92882.54,92841.9
,92869.234,92890.0,92883.945,92841.9
,92868.45,92890.1,92883.3,92841.9
,92868.98,92891.2,92884.98,92841.9
,92869.055,92891.3,92882.79,92841.9
,92873.055,92893.0,92890.125,92841.9
,92875.07,92896.4,92892.97,92841.9
,92878.555,92897.2,92894.914,92841.9
,92882.43,92899.0,92895.48,92841.9
,92882.6,92901.5,92899.86,92841.9
,92881.016,92908.0,92901.92,92841.9
,92882.055,92909.1,92902.52,92841.9
,92886.74,92910.3,92904.66,92841.9
,92887.21,92910.3,92903.65,92841.9
,92890.98,92914.2,92907.39,92841.9
,92896.55,92915.0,92909.25,92841.9
,92892.19,92915.8,92909.61,92841.9
,92890.46,92915.9,92909.53,92841.9
,92892.305,92915.9,92909.58,92841.9
,92893.14,92919.8,92915.65,92841.9
,92899.18,92924.1,92920.85,92841.9
,92903.31,92924.4,92922.92,92841.9
,92902.61,92925.0,92922.63,92841.9
,92910.5,92927.9,92923.875,92841.9
,92910.33,92928.5,92923.69,92841.9
,92912.016,92933.1,92926.445,92841.9
,92912.72,92942.7,92936.14,92841.9
,92914.81,92943.8,92937.836,92841.9
,92913.77,92943.8,92933.1,92841.9
,92913.586,92943.8,92933.16,92841.9
,92918.83,92943.8,92934.19,92841.9
,92921.89,92943.8,92937.49,92841.9
,92916.0,92943.8,92938.875,92841.9
,92919.66,92943.8,92938.38,92841.9
,92926.805,92943.8,92938.96,92841.9
,92923.625,92944.2,92939.9,92841.9
,92916.27,92946.3,92940.695,92841.9
,92922.16,92946.4,92941.27,92841.9
,92924.23,92946.4,92941.2,92841.9
,92924.43,92946.4,92941.3,92841.9
,92920.5,92946.4,92940.31,92841.9
,92924.44,92946.4,92940.24,92841.9
,92924.58,92946.4,92940.73,92841.9
,92924.13,92946.4,92940.19,92841.9
,92923.914,92946.4,92940.664,92841.9
,92925.45,92946.5,92943.08,92841.9
,92926.05,92946.5,92943.055,92841.9
,92926.055,92946.5,92943.055,92841.9
,92924.734,92946.5,92938.71,92841.9
,92927.125,92946.5,92938.61,92841.9
,92929.055,92946.5,92937.5,92841.9
,92928.836,92946.5,92937.09,92841.9
,92928.02,92946.5,92936.8,92841.9
,92928.17,92946.5,92936.8,92841.9
,92927.48,92946.5,92936.69,92841.9
,92929.03,92946.5,92936.69,92841.9
,92927.5,92946.5,92936.68,92841.9
,92927.5,92946.5,92936.805,92841.9
,92927.34,92946.5,92936.74,92841.9
,92927.414,92946.5,92936.79,92841.9
,92926.7,92946.5,92936.984,92841.9
,92926.56,92946.5,92938.25,92841.9
,92926.98,92946.5,92941.09,92841.9
,92926.91,92946.5,92941.08,92841.9
,92926.91,92946.5,92941.16,92841.9
,92926.86,92946.5,92941.375,92841.9
,92929.75,92946.5,92941.81,92841.9
,92930.6,92946.5,92942.27,92841.9
,92932.875,92946.5,92943.266,92841.9
,92929.59,92946.5,92943.08,92841.9
,92931.375,92946.6,92943.555,92841.9
,92931.28,92946.6,92943.53,92841.9
,92931.336,92946.6,92943.484,92841.9
,92931.81,92946.8,92943.87,92841.9
,92931.805,92946.8,92944.336,92841.9
,92931.41,92946.9,92944.445,92841.9
,92931.32,92946.9,92944.445,92841.9
,92930.3,92946.9,92942.65,92841.9
