server_time,best_bid_price,best_ask_price,avg_buy_price,avg_sell_price
2024-11-26T09:43:33.584,92727.2,92756.1,92729.95,92746.28
2024-11-26T09:43:33.604,92727.2,92756.1,92730.28,92746.28
2024-11-26T09:43:33.624,92727.1,92756.1,92730.69,92746.28
2024-11-26T09:43:33.644,92727.1,92756.1,92731.25,92746.28
2024-11-26T09:43:33.664,92727.1,92756.1,92731.664,92746.28
2024-11-26T09:43:33.684,92727.1,92756.1,92731.34,92746.28
2024-11-26T09:43:33.704,92726.9,92756.1,92731.19,92746.28
2024-11-26T09:43:33.724,92726.9,92756.1,92731.12,92746.28
2024-11-26T09:43:33.744,92726.7,92756.1,92732.22,92746.28
2024-11-26T09:43:33.764,92726.7,92756.1,92732.27,92746.28
2024-11-26T09:43:33.784,92726.7,92756.1,92732.27,92746.27
2024-11-26T09:43:33.804,92726.7,92756.1,92732.1,92746.27
2024-11-26T09:43:33.824,92726.7,92756.1,92732.445,92746.16
2024-11-26T09:43:33.844,92726.7,92756.1,92731.63,92746.195
2024-11-26T09:43:33.864,92726.7,92756.1,92732.37,92746.195
2024-11-26T09:43:33.884,92726.7,92756.1,92732.54,92746.195
2024-11-26T09:43:33.904,92726.7,92756.1,92732.516,92746.195
2024-11-26T09:43:33.924,92726.7,92756.1,92731.22,92746.195
2024-11-26T09:43:33.944,92726.7,92756.1,92731.87,92746.195
2024-11-26T09:43:33.964,92726.7,92756.1,92730.51,92746.195
2024-11-26T09:43:33.984,92726.7,92756.1,92730.5,92746.36
2024-11-26T09:43:34.004,92726.7,92756.1,92730.72,92746.38
2024-11-26T09:43:34.024,92726.7,92756.1,92730.6,92746.38
2024-11-26T09:43:34.044,92726.7,92756.1,92730.31,92746.38
2024-11-26T09:43:34.064,92726.7,92756.1,92730.27,92746.38
2024-11-26T09:43:34.084,92726.7,92756.1,92730.47,92746.38
2024-11-26T09:43:34.104,92726.7,92756.1,92731.445,92746.38
2024-11-26T09:43:34.124,92726.7,92756.1,92731.02,92746.38
2024-11-26T09:43:34.144,92726.7,92756.1,92729.91,92745.484
2024-11-26T09:43:34.164,92726.0,92756.1,92729.65,92743.36
2024-11-26T09:43:34.184,92725.6,92756.1,92728.836,92743.54
2024-11-26T09:43:34.204,92725.6,92756.1,92728.83,92743.84
2024-11-26T09:43:34.224,92725.6,92756.1,92728.83,92743.84
2024-11-26T09:43:34.244,92725.6,92756.1,92728.836,92743.836
2024-11-26T09:43:34.264,92725.6,92756.1,92728.81,92743.83
2024-11-26T09:43:34.284,92725.6,92756.1,92728.94,92743.83
2024-11-26T09:43:34.304,92725.6,92756.1,92729.1,92743.83
2024-11-26T09:43:34.324,92725.6,92756.1,92729.18,92743.83
2024-11-26T09:43:34.344,92725.6,92756.1,92729.836,92744.055
2024-11-26T09:43:34.364,92725.2,92756.1,92730.47,92744.04
2024-11-26T09:43:34.384,92725.2,92756.1,92732.984,92744.22
2024-11-26T09:43:34.404,92725.2,92756.1,92732.336,92744.11
2024-11-26T09:43:34.424,92725.0,92756.1,92732.836,92744.33
2024-11-26T09:43:34.444,92725.0,92756.1,92732.44,92744.055
2024-11-26T09:43:34.464,92724.9,92756.1,92731.52,92744.44
2024-11-26T09:43:34.485,92724.9,92756.1,92732.16,92744.72
2024-11-26T09:43:34.504,92724.9,92756.1,92732.3,92744.484
2024-11-26T09:43:34.525,92724.9,92756.1,92731.83,92744.36
2024-11-26T09:43:34.544,92724.9,92756.1,92731.945,92744.37
2024-11-26T09:43:34.565,92724.9,92756.1,92731.94,92744.38
2024-11-26T09:43:34.584,92724.9,92756.1,92731.96,92744.52
2024-11-26T09:43:34.604,92724.9,92756.1,92731.984,92744.57
2024-11-26T09:43:34.624,92724.9,92756.1,92732.33,92744.98
2024-11-26T09:43:34.644,92724.9,92756.1,92732.305,92745.13
2024-11-26T09:43:34.664,92724.9,92756.1,92732.266,92745.195
2024-11-26T09:43:34.684,92724.9,92756.1,92732.234,92745.195
2024-11-26T09:43:34.724,92724.9,92756.1,92732.27,92744.94
2024-11-26T09:43:34.745,92724.9,92756.1,92732.3,92744.875
2024-11-26T09:43:34.764,92724.9,92756.1,92731.79,92744.38
2024-11-26T09:43:34.784,92724.9,92756.1,92731.75,92744.17
2024-11-26T09:43:34.805,92724.9,92756.1,92731.43,92744.16
2024-11-26T09:43:34.825,92724.9,92756.1,92731.27,92744.38
2024-11-26T09:43:34.844,92724.9,92756.1,92731.484,92744.18
2024-11-26T09:43:34.864,92724.9,92756.1,92731.484,92744.23
