server_time,best_bid_price,best_ask_price,avg_buy_price,avg_sell_price
2024-11-26T13:53:57.085,91926.5,91926.6,91931.375,91917.58
2024-11-26T13:53:57.104,91926.5,91926.6,91931.375,91916.62
2024-11-26T13:53:57.124,91926.5,91926.6,91931.28,91917.21
2024-11-26T13:53:57.145,91926.5,91926.6,91931.86,91917.87
2024-11-26T13:53:57.164,91926.5,91926.6,91931.79,91917.36
2024-11-26T13:53:57.185,91926.5,91926.6,91932.38,91917.555
2024-11-26T13:53:57.204,91926.5,91926.6,91932.65,91917.49
2024-11-26T13:53:57.224,91926.5,91926.6,91934.15,91917.445
2024-11-26T13:53:57.245,91926.5,91926.6,91934.15,91917.625
2024-11-26T13:53:57.264,91926.5,91926.6,91934.15,91917.625
2024-11-26T13:53:57.284,91926.5,91926.6,91934.35,91918.32
2024-11-26T13:53:57.304,91926.5,91926.6,91934.16,91918.0
2024-11-26T13:53:57.324,91926.5,91926.6,91934.16,91918.25
2024-11-26T13:53:57.344,91926.5,91926.6,91934.16,91918.31
2024-11-26T13:53:57.364,91926.5,91926.6,91934.16,91918.5
2024-11-26T13:53:57.404,91926.5,91926.6,91934.16,91918.49
2024-11-26T13:53:57.424,91926.5,91926.6,91934.22,91918.58
2024-11-26T13:53:57.444,91926.5,91926.6,91933.78,91918.83
2024-11-26T13:53:57.464,91926.5,91926.6,91934.09,91918.96
2024-11-26T13:53:57.484,91926.5,91926.6,91933.5,91919.04
2024-11-26T13:53:57.504,91926.5,91926.6,91934.09,91918.94
2024-11-26T13:53:57.524,91926.5,91926.6,91934.125,91918.99
2024-11-26T13:53:57.544,91926.5,91926.6,91934.38,91918.84
2024-11-26T13:53:57.564,91926.5,91926.6,91934.38,91918.63
2024-11-26T13:53:57.584,91926.5,91926.6,91933.64,91918.5
2024-11-26T13:53:57.604,91926.5,91926.6,91932.695,91918.414
2024-11-26T13:53:57.625,91926.5,91926.6,91932.695,91918.76
2024-11-26T13:53:57.645,91926.5,91926.6,91932.695,91918.76
2024-11-26T13:53:57.665,91926.5,91926.6,91932.72,91918.79
2024-11-26T13:53:57.684,91926.5,91926.6,91932.625,91918.71
2024-11-26T13:53:57.704,91926.5,91926.6,91932.0,91918.664
2024-11-26T13:53:57.724,91926.5,91926.6,91932.38,91918.77
2024-11-26T13:53:57.745,91926.5,91926.6,91932.055,91918.79
2024-11-26T13:53:57.784,91926.5,91926.6,91932.055,91918.69
2024-11-26T13:53:57.804,91926.5,91926.6,91932.66,91918.45
2024-11-26T13:53:57.825,91926.5,91926.6,91933.24,91918.73
2024-11-26T13:53:57.844,91926.5,91926.6,91933.24,91918.734
2024-11-26T13:53:57.904,91926.5,91926.6,91933.24,91918.74
2024-11-26T13:53:57.944,91926.5,91926.6,91933.03,91918.74
2024-11-26T13:53:57.985,91926.5,91926.6,91933.03,91918.94
2024-11-26T13:53:58.005,91926.5,91926.6,91933.24,91918.805
2024-11-26T13:53:58.024,91926.5,91926.6,91933.24,91918.53
2024-11-26T13:53:58.044,91926.5,91926.6,91934.22,91918.75
